STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,STATE
US1VARN0029,"ROANOKE 5.1 SSW, VA US",,,,VIRGINIA
US1VAAR0008,"ARLINGTON 0.3 E, VA US",,,,VIRGINIA
US1VARN0028,"ROANOKE 5.4 NE, VA US",,,,VIRGINIA
US1VAPC0009,"PRINCE GEORGE 3.2 ENE, VA US",,,,VIRGINIA
US1VAPC0005,"DISPUTANTA 6.3 NE, VA US",,,,VIRGINIA
US1VALD0029,"LEESBURG 1.7 NNE, VA US",,,,VIRGINIA
US1VALD0026,"LEESBURG 2.6 E, VA US",,,,VIRGINIA
US1VAFX0063,"ALEXANDRIA 5.6 SSW, VA US",,,,VIRGINIA
US1VAWR0002,"FRONT ROYAL 3.1 ESE, VA US",,,,VIRGINIA
US1VAFX0064,"FALLS CHURCH 1.6 W, VA US",,,,VIRGINIA
USC00444148,"HUDDLESTON 4 SW, VA US",,,,VIRGINIA
USC00445595,"MILL GAP, VA US",,,,VIRGINIA
US1VAFX0060,"OAKTON 0.4 E, VA US",,,,VIRGINIA
US1VAFX0061,"VIENNA 0.8 S, VA US",,,,VIRGINIA
US1VASS0001,"WAKEFIELD 0.1 ENE, VA US",,,,VIRGINIA
US1VAFX0078,"BURKE 1.4 NNE, VA US",,,,VIRGINIA
US1VALD0017,"LEESBURG 4.4 W, VA US",,,,VIRGINIA
US1VALD0013,"ROUND HILL 2.7 WSW, VA US",,,,VIRGINIA
USC00448737,"VIENNA, VA US",,,,VIRGINIA
US1VAFX0076,"RESTON 1.8 N, VA US",,,,VIRGINIA
US1VARN0006,"ROANOKE 7.3 SSW, VA US",,,,VIRGINIA
US1VARDC001,"RADFORD 0.9 WNW, VA US",,,,VIRGINIA
USC00446593,"PEDLAR DAM, VA US",,,,VIRGINIA
US1VAAC0007,"ONLEY 0.6 SE, VA US",,,,VIRGINIA
US1VAAC0008,"GREENBACKVILLE 0.4 WNW, VA US",,,,VIRGINIA
US1VAMX0011,"LOCUST HILL 1.0 NE, VA US",,,,VIRGINIA
US1VAGN0005,"RUCKERSVILLE 4.1 ENE, VA US",,,,VIRGINIA
US1VAGN0006,"RUCKERSVILLE 1.0 WNW, VA US",,,,VIRGINIA
US1VAFX0040,"VIENNA 3.3 N, VA US",,,,VIRGINIA
US1VAFX0041,"MCLEAN 2.3 SE, VA US",,,,VIRGINIA
US1VARN0017,"SALEM 3.4 WNW, VA US",,,,VIRGINIA
US1VARN0019,"ROANOKE 5.9 WSW, VA US",,,,VIRGINIA
US1VAPC0010,"PRINCE GEORGE 0.5 NNW, VA US",,,,VIRGINIA
USR0000VASH,"LIME KILN VIRGINIA, VA US",,,,VIRGINIA
US1VARN0021,"SALEM 1.6 WSW, VA US",,,,VIRGINIA
US1VAFX0051,"VIENNA 1.3 W, VA US",,,,VIRGINIA
US1VARN0020,"ROANOKE 3.4 SW, VA US",,,,VIRGINIA
US1VAFX0054,"FAIRFAX 4.1 W, VA US",,,,VIRGINIA
USC00444039,"BIG ISLAND, VA US",,,,VIRGINIA
US1VARN0025,"ROANOKE 5.7 SW, VA US",,,,VIRGINIA
US1VARN0024,"CATAWBA 7.2 WSW, VA US",,,,VIRGINIA
USC00441082,"BROOKNEAL, VA US",,,,VIRGINIA
USC00448829,"WALKERTON 2 NW, VA US",,,,VIRGINIA
US1VAIW0004,"SMITHFIELD 1.3 SW, VA US",,,,VIRGINIA
USR0000VJAM,"JAMES RIVER VIRGINIA, VA US",,,,VIRGINIA
USC00442044,"COVINGTON FILTER PLANT, VA US",,,,VIRGINIA
USC00448941,"WAYNESBORO WATER TREATMENT, VA US",,,,VIRGINIA
USC00444101,"HOPEWELL, VA US",,,,VIRGINIA
USC00443375,"GLASGOW 1 SE, VA US",,,,VIRGINIA
US1VAHR0006,"GLEN ALLEN 4.6 W, VA US",,,,VIRGINIA
US1VAJC0077,"WILLIAMSBURG 3.4 SW, VA US",,,,VIRGINIA
