STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,STATE
US1DCDC0009,"WASHINGTON 2.0 SSW, DC US",38.876594,-77.022402,3,DISTRICT OF COLUMBIA
USC00186350,"NATIONAL ARBORETUM DC, MD US",38.91329,-76.97009,15.2,DISTRICT OF COLUMBIA
US1DCDC0040,"WASHINGTON 2.2 ESE, DC US",38.8965206,-76.9769113,8.2,DISTRICT OF COLUMBIA
USC00182325,"DALECARLIA RESERVOIR, MD US",38.9385,-77.1134,45.7,DISTRICT OF COLUMBIA
US1DCDC0031,"WASHINGTON 3.1 NNE, DC US",38.94361,-76.98801,36.9,DISTRICT OF COLUMBIA
US1DCDC0026,"WASHINGTON 2.6 NE, DC US",38.932715,-76.983545,43.9,DISTRICT OF COLUMBIA
US1DCDC0014,"WASHINGTON 5.1 NW, DC US",38.958091,-77.08173,106.4,DISTRICT OF COLUMBIA
